Hours Studied,Attendance,Sleep Hours,Tutoring Sessions,Physical Activity,Exam Score,Extracurricular Activities_Yes,Internet Access_Yes,School Type_Public,Parental Involvement,Resource Access,Motivation Level,Family Income,Teacher Quality,Parental Education Level
31,100,7,2,5,76,False,True,True,1,1,1,2,2,2
21,82,7,3,3,69,True,True,True,1,2,2,0,1,1
22,67,7,3,2,67,True,True,True,1,1,2,0,2,2
20,73,9,2,3,69,True,True,True,2,1,1,1,2,1
8,77,6,0,2,63,True,True,True,2,1,1,0,1,0
20,72,9,3,3,67,False,True,False,1,1,1,0,2,2
20,71,7,2,5,66,True,True,True,0,2,2,1,1,1
35,99,7,2,2,79,True,True,False,2,2,0,1,2,2
19,66,8,1,3,64,False,True,True,1,1,1,2,1,0
22,89,6,1,3,73,True,True,True,2,2,1,2,2,0
20,60,7,2,4,63,False,True,True,0,2,2,0,2,0
13,84,5,1,2,65,False,True,True,1,1,1,0,2,0
27,97,8,0,5,73,True,True,True,0,2,1,2,1,0
25,72,8,2,4,70,True,True,False,2,2,0,0,1,1
25,67,9,2,3,68,False,True,True,2,1,2,0,2,0
15,86,7,1,3,65,True,True,True,1,1,1,1,1,1
28,89,9,0,1,71,True,True,False,0,2,2,0,1,1
12,88,6,2,2,64,False,True,True,0,1,0,1,1,1
24,73,8,4,3,68,True,True,False,1,2,1,2,1,1
33,70,6,1,4,69,True,True,True,1,1,0,0,2,1
14,98,7,0,4,69,False,True,False,1,1,1,1,2,1
17,97,8,1,4,69,False,True,True,1,1,1,0,1,0
21,78,10,1,2,67,True,True,False,1,1,1,2,0,1
17,94,8,4,6,68,True,True,True,0,1,0,1,1,0
11,78,8,2,3,64,True,True,True,1,2,1,0,1,2
20,77,6,0,4,66,False,True,True,1,1,0,0,2,0
14,66,7,3,3,63,False,True,True,2,0,1,0,2,0
23,77,7,0,2,66,True,True,True,1,1,1,0,2,0
14,81,9,1,3,66,False,True,False,1,1,1,0,2,2
29,61,7,3,3,67,True,True,False,1,2,0,0,1,1
15,78,9,1,1,65,False,True,True,2,2,0,0,1,0
18,91,5,1,3,68,True,True,True,0,1,1,1,1,0
25,87,9,1,2,68,False,True,False,1,0,2,0,2,0
13,85,6,0,1,65,False,True,False,2,1,1,2,1,0
21,96,8,2,0,71,False,True,True,1,1,2,1,2,1
28,61,6,1,3,65,False,True,False,1,2,2,0,1,2
10,82,8,3,1,64,False,True,True,1,0,1,0,2,2
21,91,6,0,2,72,False,True,False,2,1,1,2,1,2
22,82,9,2,2,65,False,True,True,1,1,1,0,1,0
25,73,8,0,5,66,False,False,False,1,2,2,0,2,2
13,65,6,0,4,61,False,True,False,0,2,1,0,1,0
12,96,8,2,3,68,True,True,True,0,2,1,1,2,1
23,79,8,3,3,69,True,True,True,2,2,0,1,1,2
22,95,6,1,3,72,True,True,True,1,2,1,0,1,1
22,83,5,2,3,71,True,True,True,1,2,1,0,2,2
22,87,5,2,3,70,False,True,True,2,2,0,0,2,0
16,92,5,1,2,68,True,True,True,1,2,0,0,1,0
21,86,5,2,2,67,True,True,True,0,1,1,0,2,0
22,76,8,1,4,68,True,True,True,1,1,1,0,2,0
16,81,8,3,2,68,True,True,True,1,1,1,1,1,2
31,92,4,2,4,72,True,True,True,1,1,1,1,2,0
23,75,6,0,2,65,False,True,True,0,2,0,1,1,1
13,76,5,2,4,66,False,True,False,1,2,0,1,1,0
24,64,8,0,3,65,True,True,True,1,1,2,0,2,0
14,97,6,2,3,67,True,True,True,1,1,1,1,1,1
25,64,5,2,4,66,False,True,True,1,2,0,1,1,1
27,86,7,1,4,69,False,True,True,1,1,0,1,2,0
15,77,8,0,3,66,True,True,True,1,1,0,2,2,1
26,76,6,4,3,69,True,True,True,1,2,1,2,0,0
22,87,7,0,2,67,True,False,True,2,0,1,0,1,0
25,63,6,1,3,66,True,True,False,2,1,1,1,0,0
31,84,9,2,3,71,True,True,False,1,1,1,0,1,1
19,91,6,5,4,70,False,True,True,2,0,1,1,2,1
15,93,6,2,4,71,False,True,True,2,1,1,1,2,2
15,67,7,1,3,66,True,True,False,1,1,2,2,1,2
15,96,7,3,2,67,False,False,True,1,1,2,1,2,0
20,86,8,1,4,66,False,True,True,2,0,1,1,1,1
22,95,9,0,2,72,False,True,True,1,2,0,0,2,2
22,79,9,1,3,68,False,True,True,1,1,1,1,1,0
25,82,6,3,3,69,False,False,True,1,1,1,0,2,0
20,97,7,2,3,71,True,True,False,1,1,0,0,0,2
29,96,9,0,2,70,True,False,True,1,1,0,1,1,2
18,78,9,2,4,67,False,True,True,1,1,2,2,0,1
36,71,6,2,2,69,True,True,True,1,1,1,2,1,0
24,76,8,2,1,65,False,True,True,0,2,0,1,1,0
15,76,8,1,4,65,False,True,True,2,2,1,0,1,1
14,71,8,2,4,64,True,True,True,1,1,0,1,2,0
23,71,9,1,2,63,True,True,True,0,0,0,0,1,1
19,94,5,3,2,69,True,True,True,0,1,1,0,0,0
24,63,6,1,5,64,True,True,False,1,0,1,0,2,1
23,87,8,0,3,72,True,True,False,2,2,2,2,1,0
20,67,7,0,4,63,True,True,True,0,1,1,1,1,0
15,74,4,3,3,64,True,True,True,0,2,0,0,1,0
11,62,5,3,4,64,True,True,False,1,2,1,2,1,1
17,71,8,5,1,67,True,True,True,1,1,1,1,1,2
25,91,8,2,0,71,False,True,True,1,1,0,1,2,2
21,95,5,1,4,70,False,True,True,1,1,2,1,0,0
13,69,9,0,4,61,True,True,False,1,0,0,2,1,0
21,79,7,2,4,67,True,True,True,1,2,0,0,1,1
22,79,5,4,3,72,False,True,True,2,1,1,2,2,1
15,95,6,1,5,66,True,True,True,0,0,0,0,1,0
21,91,5,1,2,70,True,True,True,1,2,1,2,0,0
20,81,6,3,4,67,True,False,True,2,1,2,1,1,0
13,87,4,2,3,67,True,True,True,2,0,1,1,2,0
22,94,7,2,2,71,True,True,True,0,1,2,2,1,1
23,60,8,1,4,66,True,True,False,2,1,1,0,1,1
26,76,5,1,4,68,True,True,True,1,1,1,1,1,0
26,96,7,3,3,74,True,True,False,1,1,1,2,1,1
12,90,6,1,3,64,True,False,True,1,0,1,2,1,0
14,82,8,1,3,65,False,True,False,1,1,1,0,1,1
23,81,4,1,3,66,True,True,True,0,1,1,0,1,1
23,74,8,0,3,66,True,True,True,1,2,0,1,2,0
23,81,4,2,5,68,False,True,True,1,0,1,1,1,0
43,86,7,2,1,78,True,True,True,2,1,1,1,2,0
23,77,6,1,2,67,True,True,False,1,2,0,1,1,0
27,89,6,3,3,74,True,True,False,1,2,1,1,1,0
26,94,5,1,2,74,False,True,True,1,2,2,0,2,2
24,66,9,1,2,62,False,True,True,1,0,0,1,1,0
18,78,5,2,4,66,True,False,True,2,1,1,1,1,0
25,76,5,3,3,69,True,True,True,1,1,2,1,2,0
15,87,10,2,3,68,True,True,False,1,2,1,0,2,1
19,70,7,0,2,89,False,True,True,1,0,2,1,1,0
17,86,5,2,4,66,False,False,False,2,0,0,2,1,1
20,95,7,2,3,68,True,False,True,0,1,0,1,2,0
34,77,7,0,3,69,True,True,True,1,0,0,1,1,0
9,96,4,0,4,67,True,False,True,1,1,2,0,1,1
24,100,6,2,5,75,True,True,False,2,2,0,1,1,0
10,64,7,0,4,60,False,True,True,1,2,2,1,1,0
17,69,9,2,4,66,True,True,False,2,1,1,1,2,1
27,98,7,1,3,73,True,True,False,0,2,0,2,1,1
20,98,7,1,2,68,False,True,False,1,0,0,1,2,0
14,64,6,0,3,62,True,True,True,1,1,1,1,1,0
16,61,9,2,2,62,False,True,True,1,1,0,0,2,0
24,66,8,1,4,65,True,True,True,2,0,2,1,1,0
16,100,8,2,3,69,True,True,True,2,0,2,0,1,0
21,67,7,3,2,64,False,True,True,1,1,0,0,1,0
20,80,5,0,4,67,False,True,False,1,2,1,0,0,2
16,94,9,0,2,70,True,True,True,2,2,1,0,2,0
33,61,7,2,3,70,False,True,True,1,1,2,1,2,1
24,84,7,3,3,69,False,True,True,2,0,0,1,2,0
8,71,8,0,3,61,False,True,True,2,0,1,1,2,0
21,94,7,0,2,69,False,True,False,1,1,0,1,1,2
16,71,5,1,0,63,True,True,True,2,1,1,1,1,0
25,87,7,0,4,67,True,True,True,1,0,0,1,2,0
15,87,4,1,6,65,False,True,True,0,1,1,1,1,0
19,69,7,3,4,66,True,True,True,1,1,2,2,2,0
23,61,9,4,2,63,False,True,True,0,1,1,1,1,0
25,76,4,2,3,68,True,True,False,1,2,1,1,1,0
13,72,7,0,4,65,False,True,True,2,2,1,0,2,2
18,92,8,1,3,67,True,True,True,0,1,1,1,1,0
17,92,8,2,3,68,True,True,True,0,0,1,1,2,2
16,78,6,0,3,64,False,True,True,1,2,1,0,0,1
31,84,5,0,3,71,False,True,False,1,1,2,1,1,1
22,84,6,0,5,69,True,True,True,1,1,0,1,1,0
12,93,9,1,3,67,True,True,True,1,1,0,1,1,2
26,77,4,2,3,65,False,True,True,0,1,0,2,0,1
33,71,5,1,2,68,False,True,True,0,1,1,1,1,0
26,71,6,1,3,67,True,False,False,2,1,0,2,1,2
11,81,6,3,4,67,True,True,True,1,1,2,1,2,0
17,78,7,2,3,66,True,False,True,1,2,1,0,2,0
28,78,9,2,4,70,False,True,True,2,1,2,1,1,1
16,64,5,3,4,65,True,True,False,2,0,1,1,2,2
23,89,7,4,4,69,True,True,False,0,0,0,1,0,2
25,69,7,1,4,65,True,False,True,1,1,0,2,2,0
14,68,6,1,3,63,False,True,True,2,1,1,2,1,1
20,77,5,2,2,67,False,True,False,1,1,0,0,2,2
1,69,6,1,3,61,True,True,True,2,1,1,0,1,0
14,83,6,0,2,65,True,True,True,1,0,1,1,1,0
18,75,8,1,2,66,True,True,True,0,2,1,0,0,1
13,78,8,0,3,66,True,True,True,1,2,2,2,0,1
30,81,5,1,1,69,True,True,True,1,0,1,2,2,0
11,68,6,2,3,63,False,True,True,1,1,1,1,1,1
17,66,6,1,6,65,False,True,True,0,2,1,2,1,2
21,95,10,0,4,67,False,True,True,0,0,0,2,1,0
29,77,7,2,3,69,True,True,True,2,2,1,2,1,0
11,76,5,4,2,65,True,True,True,0,1,1,1,0,2
27,61,6,1,3,65,False,True,True,1,1,1,0,1,0
20,80,6,0,2,65,True,True,True,2,0,1,0,1,1
14,82,8,2,5,67,True,True,True,1,2,0,0,2,1
23,82,8,1,2,66,True,True,True,0,1,1,1,1,0
21,88,7,4,3,72,False,True,True,1,2,1,0,1,0
16,67,7,3,3,66,False,True,True,1,2,2,0,1,1
20,70,7,2,4,65,True,False,False,1,1,0,1,2,1
18,92,7,1,3,69,True,True,True,2,1,1,0,1,0
21,98,4,2,2,68,False,True,True,1,0,1,2,0,0
24,65,7,1,1,64,False,True,True,1,0,0,2,1,2
30,80,6,3,4,69,False,True,True,0,2,1,1,1,1
13,69,5,0,1,59,True,True,True,1,0,0,2,1,0
33,62,10,0,3,68,True,True,False,2,1,1,1,1,0
8,73,7,0,3,60,False,False,False,1,1,1,2,1,0
19,66,7,1,3,62,False,True,True,1,2,1,2,1,0
24,88,6,0,3,67,True,True,True,0,1,0,0,0,1
22,81,8,4,5,68,True,True,False,0,2,2,1,1,0
16,66,5,3,3,64,True,True,True,1,2,2,1,1,0
19,60,7,3,3,65,True,True,True,1,2,2,0,2,0
17,92,6,2,2,65,True,True,False,0,0,1,1,1,0
16,67,8,0,3,63,False,True,True,2,1,1,0,0,0
25,84,6,2,3,70,True,True,True,1,0,0,1,2,0
22,73,9,3,3,66,True,True,True,0,1,0,1,1,0
16,83,7,4,3,68,True,True,True,1,2,0,2,1,0
25,73,8,3,3,66,False,True,False,0,0,1,1,1,0
22,63,8,3,1,63,False,True,False,0,0,1,1,1,1
25,69,9,1,3,66,True,True,True,2,1,1,0,1,1
24,68,6,1,3,65,True,True,True,1,1,1,1,1,0
15,77,8,1,2,66,True,True,True,1,1,2,0,1,2
17,86,4,2,3,67,True,True,False,2,0,2,2,0,1
24,71,7,0,3,66,True,True,False,1,1,1,0,1,0
24,60,6,4,3,63,False,True,True,0,1,2,0,2,0
20,81,5,3,4,66,True,True,True,1,1,0,1,1,0
21,84,6,1,3,67,False,False,True,1,1,0,2,1,1
28,99,6,1,3,71,True,False,True,1,1,1,0,1,0
16,84,7,1,2,67,True,True,False,1,2,1,0,1,0
23,79,6,1,4,69,True,True,True,1,2,1,2,0,0
19,83,7,2,4,67,True,True,True,1,1,1,0,1,2
19,97,6,2,2,72,True,True,False,2,1,2,1,1,1
27,93,6,2,4,70,False,True,False,2,0,2,0,1,0
25,73,7,0,4,67,True,True,False,1,2,0,0,1,2
25,69,7,0,3,64,True,True,True,0,2,1,0,2,0
28,71,8,1,1,67,False,True,False,1,1,2,1,2,1
20,80,8,3,4,69,False,True,False,0,2,1,1,1,2
24,90,7,0,3,68,False,True,False,0,0,1,0,1,1
18,80,8,2,3,63,False,True,True,1,1,0,0,0,0
22,63,7,4,3,68,True,True,True,1,2,1,2,2,1
19,89,7,0,3,70,True,True,True,2,1,1,1,1,0
21,92,8,0,2,66,True,True,True,1,0,0,1,1,1
24,72,6,0,6,68,False,True,True,2,2,2,0,2,0
15,87,4,0,3,67,True,True,False,2,0,2,0,1,1
33,77,5,0,5,69,True,True,False,0,2,1,0,1,0
14,96,9,0,3,66,True,True,False,1,0,2,1,1,1
13,94,7,3,3,68,True,True,True,1,1,0,0,1,0
27,81,7,2,2,69,True,True,True,1,1,1,1,0,2
25,88,7,1,3,70,True,True,False,1,1,0,1,1,2
24,95,8,1,3,74,True,True,False,1,2,2,1,2,1
24,80,7,0,0,70,True,True,True,1,2,2,0,2,1
20,73,7,1,2,66,True,True,True,1,1,0,1,2,2
15,90,8,1,3,69,True,True,False,2,1,1,0,2,1
20,69,6,0,3,64,False,True,True,1,2,0,0,1,2
16,76,8,1,1,62,True,False,True,0,2,1,0,1,0
26,95,7,0,3,70,False,True,True,0,2,1,1,1,0
19,89,7,2,4,68,True,True,True,2,1,1,1,1,0
15,76,6,0,3,65,True,True,True,1,1,0,1,2,1
18,69,7,3,3,65,False,True,True,2,2,0,1,1,0
22,74,6,3,4,71,True,True,True,2,2,0,2,2,2
17,71,9,2,5,66,True,True,True,2,1,0,1,1,0
15,67,4,0,3,61,False,True,True,1,1,1,0,1,1
21,90,8,2,5,67,True,True,True,0,1,0,1,2,0
21,70,4,0,2,65,True,True,False,0,2,1,0,2,1
17,78,8,0,3,65,False,True,True,1,2,1,0,1,0
17,75,6,1,5,65,True,False,False,1,2,1,0,1,0
21,99,8,4,4,73,False,True,True,1,1,2,1,1,0
11,76,7,1,2,62,True,False,True,1,1,1,1,0,1
12,63,5,0,2,60,True,True,True,1,2,0,1,2,1
16,64,9,1,3,61,True,True,True,0,1,0,1,1,1
19,84,8,2,3,67,True,True,False,0,1,2,0,1,2
22,84,8,3,4,70,False,False,False,2,1,1,1,2,1
29,77,6,1,1,69,False,True,True,0,2,1,1,1,1
25,77,8,0,5,66,True,False,True,1,0,2,1,1,1
19,62,5,2,3,64,False,True,True,1,1,0,0,2,1
20,81,4,1,2,68,True,True,False,2,1,1,2,1,2
14,80,5,1,4,67,True,True,True,2,1,1,0,1,2
20,66,6,0,1,64,False,True,True,1,1,2,1,1,1
18,64,6,2,2,65,True,True,True,1,1,2,0,1,1
22,65,6,2,3,66,True,True,True,0,2,1,2,1,2
15,64,6,2,4,63,True,True,False,1,1,2,1,1,0
23,84,6,2,2,68,True,True,True,2,1,0,0,0,0
29,68,4,1,4,66,True,True,False,1,2,1,1,1,0
19,70,7,3,5,63,False,False,True,1,1,0,0,0,0
22,67,7,1,3,63,False,True,True,0,1,0,0,1,0
24,98,6,1,4,74,True,True,True,2,1,1,1,1,1
18,94,9,1,2,70,True,True,True,1,2,0,1,2,1
21,69,7,2,3,68,True,True,False,2,2,1,0,1,0
20,73,7,0,4,66,True,True,True,1,1,1,1,1,2
21,68,8,0,4,63,False,True,True,1,0,0,1,1,0
15,80,5,4,3,67,False,True,True,0,2,1,0,1,1
20,61,7,1,3,62,False,True,True,1,1,1,1,0,0
23,87,8,1,3,71,False,True,True,2,2,1,1,2,2
29,81,7,2,4,72,False,True,True,2,1,1,1,1,2
26,96,5,1,2,72,True,False,False,1,1,1,2,1,2
33,67,6,0,3,68,True,True,True,1,1,2,0,2,0
15,92,7,1,5,66,True,True,True,1,0,0,1,1,0
25,92,4,0,3,70,False,True,True,1,1,1,0,1,0
21,65,5,2,4,66,True,False,False,1,0,2,0,1,2
33,76,10,1,3,72,True,True,False,1,1,0,2,1,2
15,67,8,0,4,64,True,True,True,2,1,0,2,2,0
15,70,9,1,3,63,False,True,False,2,1,1,1,1,0
16,71,8,0,2,61,False,True,True,1,1,1,0,1,2
7,82,8,0,2,62,True,True,False,2,2,1,0,1,0
17,76,7,1,4,68,False,True,True,1,2,2,1,2,0
15,98,8,1,3,68,True,True,True,0,1,0,1,1,0
21,65,9,1,5,63,False,True,True,0,1,2,1,1,0
22,99,8,1,4,70,True,True,False,1,0,0,1,1,0
31,69,7,1,3,68,True,True,True,2,0,1,0,1,2
26,91,7,1,5,72,True,True,False,2,1,1,0,1,0
17,74,8,4,3,67,True,True,True,1,1,1,0,0,1
15,66,6,1,1,61,False,False,False,0,2,1,0,1,1
23,94,8,0,3,69,False,False,True,0,1,1,0,1,2
12,72,6,2,2,61,True,True,False,1,0,2,0,2,0
31,86,6,3,3,75,True,True,True,2,2,1,1,1,1
27,83,5,0,2,68,False,True,True,2,0,1,2,0,1
17,79,6,1,4,65,True,True,True,1,0,0,1,2,0
10,80,6,4,3,67,True,True,True,2,1,2,1,1,1
28,89,10,3,6,75,True,True,True,1,2,2,1,0,0
19,64,6,1,3,64,False,True,True,0,1,1,1,1,1
27,87,8,1,4,70,False,True,True,1,1,1,0,2,0
10,96,6,0,4,67,False,False,True,2,2,1,1,1,0
16,62,7,2,3,63,True,True,True,1,1,0,1,1,0
20,66,7,1,4,65,False,True,True,2,2,1,1,1,1
20,89,4,1,3,67,True,True,True,1,1,1,1,1,0
17,77,5,2,3,86,True,True,True,0,2,1,2,1,1
24,76,6,3,3,67,False,True,True,0,2,2,1,2,0
14,65,5,1,4,63,False,True,True,2,1,0,2,1,2
19,80,7,0,3,66,False,True,True,1,1,1,1,0,1
21,65,7,2,1,65,False,True,False,2,2,0,0,1,0
23,79,5,1,3,67,False,True,False,1,1,1,1,1,0
24,91,7,0,4,69,False,True,True,1,1,0,2,2,1
13,70,6,2,2,66,False,True,True,2,2,1,1,0,2
11,79,7,1,2,64,True,True,True,1,1,1,2,1,0
28,100,6,1,2,73,True,True,True,2,0,1,0,1,2
22,87,8,1,1,66,False,True,True,0,1,0,0,1,1
16,94,9,1,4,68,False,True,True,1,1,0,0,1,2
29,77,8,0,4,70,True,True,True,2,0,0,1,2,1
21,91,9,2,2,69,False,True,False,2,1,1,0,0,0
27,62,5,4,4,67,True,True,True,1,2,0,2,1,0
20,65,6,0,3,62,False,True,False,1,0,0,1,1,1
32,68,8,1,2,68,False,True,True,1,0,2,0,1,0
31,76,9,1,4,72,True,True,False,1,2,1,0,1,2
19,94,8,3,5,69,False,True,False,0,1,1,1,0,2
26,74,5,3,2,66,False,True,False,0,0,0,2,2,0
24,86,6,1,3,70,False,True,True,2,2,1,0,1,0
28,88,8,0,3,71,False,True,True,2,1,1,1,1,0
14,83,7,0,3,65,True,True,True,1,1,1,0,0,1
24,74,6,3,3,70,True,True,True,2,1,1,0,2,1
26,83,7,2,4,65,False,False,True,0,0,2,1,2,0
9,74,7,1,3,62,False,True,False,1,2,0,2,2,0
13,63,5,2,2,62,True,True,False,2,1,1,2,1,0
8,100,8,1,3,70,True,True,True,2,1,1,1,2,2
18,65,6,5,3,66,True,False,False,1,2,1,0,1,1
24,63,7,4,4,67,True,True,False,2,0,0,0,1,0
29,95,9,1,3,72,False,True,True,1,0,1,1,2,0
20,72,7,0,3,66,True,True,False,2,0,0,0,2,2
30,86,8,2,2,68,True,True,True,1,0,1,1,1,1
12,73,5,1,4,62,False,True,True,2,1,1,0,1,0
10,76,8,2,3,64,True,True,False,0,1,1,2,2,2
20,70,8,0,5,65,False,True,True,1,1,1,0,1,2
22,74,6,4,3,66,True,True,True,1,0,0,1,2,2
20,76,7,2,3,64,False,True,False,1,0,1,0,2,0
8,89,7,4,3,67,True,True,True,1,2,0,0,1,1
19,80,7,4,4,69,True,True,True,2,1,0,1,1,1
12,98,8,0,5,68,True,True,True,2,1,1,1,0,2
24,62,6,2,4,64,False,True,True,1,1,2,0,0,0
22,80,7,2,2,68,True,True,False,2,1,1,2,1,0
14,83,9,1,3,64,True,True,True,0,0,1,1,0,0
17,97,9,0,1,71,False,True,True,1,2,2,2,1,2
14,62,8,3,2,61,True,True,True,2,2,0,0,1,0
20,83,7,4,3,68,False,True,True,0,1,1,0,1,1
26,94,10,2,5,73,True,True,True,2,1,0,2,1,0
14,70,9,3,1,64,True,False,True,2,1,1,1,1,1
23,95,7,3,4,72,True,True,True,1,1,1,0,1,2
17,61,7,5,3,65,True,True,True,1,1,2,1,1,0
15,89,6,1,4,68,True,True,True,1,1,1,1,2,0
19,97,8,2,3,71,True,True,True,2,0,1,0,2,0
14,86,8,3,3,65,True,False,True,1,0,1,1,1,2
